site,sample,pcr1,pcr2,pcr3,pcr4,pcr5,pcr6,pcr7,pcr8
A,1,0,0,0,0,0,0,0,0
B,1,0,0,0,0,0,0,0,0
C,1,1,1,1,1,1,1,1,1
D,1,0,0,0,0,0,0,0,0
E,1,0,0,0,0,0,0,0,0
A,2,0,0,0,0,0,0,0,0
B,2,0,0,0,0,0,0,0,0
C,2,0,0,0,0,0,0,0,0
D,2,0,0,0,0,0,0,0,0
E,2,0,0,0,0,0,0,0,0
A,3,1,1,0,0,0,0,0,0
B,3,0,0,0,0,0,0,0,0
C,3,1,1,1,0,0,0,0,0
D,3,1,0,0,0,0,0,0,0
E,3,0,0,0,0,0,0,0,0
A,4,0,0,0,0,0,0,0,0
B,4,0,0,0,0,0,0,0,0
C,4,0,0,0,0,0,0,0,0
D,4,0,0,0,0,0,0,0,0
E,4,0,0,0,0,0,0,0,0
A,5,1,0,0,0,0,0,0,0
B,5,0,0,0,0,0,0,0,0
C,5,0,0,0,0,0,0,0,0
D,5,1,1,0,0,0,0,0,0
E,5,1,0,0,0,0,0,0,0
A,6,0,0,0,0,0,0,0,0
B,6,0,0,0,0,0,0,0,0
C,6,1,1,0,0,0,0,0,0
D,6,0,0,0,0,0,0,0,0
E,6,0,0,0,0,0,0,0,0
A,7,0,0,0,0,0,0,0,0
B,7,0,0,0,0,0,0,0,0
C,7,0,0,0,0,0,0,0,0
D,7,0,0,0,0,0,0,0,0
E,7,0,0,0,0,0,0,0,0
A,8,0,0,0,0,0,0,0,0
B,8,0,0,0,0,0,0,0,0
C,8,0,0,0,0,0,0,0,0
D,8,0,0,0,0,0,0,0,0
E,8,0,0,0,0,0,0,0,0
